Marca comercial,Ingrediente activo,CT,Unidad
CABURE,IMIDACLOPRID,II,Lt
"GLIFO MULCHEN 66,2",GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
SLING PLUS,IMIDACLOPRID + BETA CIFLUTRIN,III,Lt
"ACTION 2,4D","2,4-D EQUIVALENTE ACIDO",III,Lt
BRIGADA EXTRA,BIFENTRIN + ABAMECTINA,II,Lt
CHACAL EXTRA,BIFENTRIN + ABAMECTINA,II,Lt
ACOPIFUNG,CARBENDAZIM + TIRAM,II,Lt
CLORIMUR,CLORIMURON ETIL,IV,Kg
KINGOLOR XTRA,IMIDACLOPRID,II,Kg
AVAUNT,INDOXACARB,II,Kg
DEORO,FLUMETRALIN,III,Lt
HALOX 54,HALOXIFOP-P-METIL,II,Lt
PARAQUAT HUAGRO,PARAQUAT,III,Lt
BIPOWER MAX SUMAGRO,IMIDACLOPRID + BIFENTRIN,II,Lt
RICEBAC,BISPYRIBAC SODIO,III,Lt
NADRAN 5 SL,MEPIQUAT CLORURO,III,Lt
GLIFOSATO 55 ASSA,GLIFOSATO,III,Kg
METSULFURON 60 JNG,METSULFURON METIL,III,Kg
DUO,ALCOHOL LINEAL ETOXILADO,III,Lt
AERO,ALCOHOL LINEAL ETOXILADO,III,Lt
FORTRESS,DELTAMETRINA,III,Lt
AMISTAR XTRA GOLD,AZOXISTROBINA + CYPROCONAZOLE ,III,Lt
ACETOCLOR ASSA,ACETOCLOR,II,Lt
ABRIL 50 SC,IPRODIONE,III,Lt
FENOTRINA NF,LAMBDACIALOTRINA,II,Lt
TIZCA,FLUAZINAM,III,Lt
ZODIAC,LUFENURON + BIFENTRIN + ABAMECTINA,II,Lt
TANKE 33,PENDIMETALIN,III,Lt
YPF MIXTAR FI,AZOXISTROBINA + CYPROCONAZOLE,III,Cm3
GENSBAN,CLORPIRIFOS,II,Lt
"2,4D AMINA MAX 50","2,4-D",II,Lt
CADMA,"2,4-D",II,Lt
METILUS,ACEITE DE SOJA,IV,Lt
CALDO BORDELES VALLES ASP,SULFATO TETRACUPRICO TRICALCICO,III,Lt
GENATIVA,BACILLUS THURINGIENSIS ,IV,Lt
GLIFOSATO AMONIO SIGMA,GLIFOSATO,III,Cm3/Lt
REZINA 90 WG,ATRAZINA,IV,Kg
ESPLANADE,INDAZIFLAM,III,Lt
SUPERMECTIN,ABAMECTINA,II,Lt
QUIMECO TC 10+10,CARBENDAZIM + TIRAM,II,Lt
SUREN 35 FS,TIAMETOXAM,III,Lt
ATILA MAX,GLIFOSATO,IV,Kg
FIREBALL,PARAQUAT,II,Lt
SUREN 60 SEMILLERO,TIAMETOXAM,IV,Lt
ADAGE 60 SEMILLERO,TIAMETOXAM,IV,Lt
CLORPIRIFOS 48 AFA,CLORPIRIFOS,II,Lt
CLORPIRIFOS 48 RURALCO,CLORPIRIFOS,II,Lt
LUCKRON,LUFENURON,III,Lt
HALOXIFOP AS,HALOXIFOP-P-METIL ESTER,III,Lt
ECOHUMECTANTE SURCOS,ALCOHOL GRASO ETOXILADO,III,Lt
STARION EXTRA,BIFENTRIN + ABAMECTINA,II,Lt
ENEDOS ECO,ALCOHOL LINEAL ETOXILADO,III,Lt
WEEDS,ALCOHOL LINEAL ETOXILADO,III,Lt
YPF GLUFOSINATO HC,GLUFOSINATO DE AMONIO,III,Lt
"2,4 DE ZAMBA","2,4-D",II,Lt
INDIGO ELITE,IMAZETAPIR,III,Lt
OPTILL,IMAZETAPIR + SAFLUFENACIL,III,Kg
GLIFACYT COMPLETO,"GLIFOSATO EQUIV. ACIDO + 2,4-D EQUIV. ACIDO + DICAMBA EQUIV. ACIDO",III,Lt
ROVRAL,IPRODIONE,III,Kg
"2,4D AMINA SUMAGRO SL","2,4-D EQUIVALENTE ACIDO",II,Lt
BOLT,ALCOHOL GRASO ETOXILADO,IV,Lt
AZTROSTAR,AZOXISTROBINA,III,Lt
CLEANER,CLOROTALONIL,III,Lt
ATRAZINA LA TIJERETA 90,ATRAZINA,IV,Kg
ARIES,AZOXISTROBINA,IV,Lt
SUSTENTOR,CLETODIM,III,Lt
TRESPASS,ABAMECTINA,II,Lt
RIDOWN PLUS,GLIFOSATO EQUIVALENTE ACIDO + IMAZETAPIR,III,Lt
ZENITH SURCOS,LAMBDACIALOTRINA,II,Lt
"PHILAMEC 3,6",ABAMECTINA,II,Lt
NUMEX R,QUIZALOFOP-P-ETIL,III,Lt
AMISTAR R 50 WG,AZOXISTROBINA,III,Kg
FORTENZA SEMILLERO,CYANTRANILIPROLE,IV,Lt
NUFARM TAZER XPERT,AZOXISTROBINA + EPOXICONAZOLE,III,Lt
ATRAX 90 WG,ATRAZINA,IV,Kg
AGROZIM 50 SC,CARBENDAZIM,III,Lt
ESKOBA FULL II SURCOS,GLIFOSATO,III,Lt
"PARAQUAT 27,6 SINER",PARAQUAT,II,Lt
VELOCITY,HALOXIFOP-P-METIL,II,Lt
FOKKER,FOMESAFEN,III,Lt
HOOD,LUFENURON + BIFENTRIN,II,Lt
JUNO,PICOXISTROBIN + CIPROCONAZOLE,III,Lt
ASCARISCER  RATHER,BROMADIOLONE,III,Kg
AMINA 50 RURALCO,"2,4-D EQUIVALENTE ACIDO",II,Lt
HALOXIFOP JNG,HALOXIFOP-P-METIL ESTER,III,Lt
AGH PLUS,COMPLEJO C3 DODECIL BENCENOSULFONATO DE TRIETANOLAMINA Y NONIL FENOL,III,Lt
TS-LOCKER,COMPLEJO C3 DODECIL BENCENOSULFONATO DE TRIETANOLAMINA Y NONIL FENOL,III,Lt
ALLWET PLUS,COMPLEJO C3 DODECIL BENCENOSULFONATO DE TRIETANOLAMINA Y NONIL FENOL,III,Lt
"HALOXIFOP 12,5 MELTHIS",HALOXIFOP-P-METIL,III,Lt
VENDAVAL METALAXIL 35,METALAXIL,II,ml/Lt
YPF GLIFOSATO CONCENTRADO HA,GLIFOSATO,IV,Lt
BIO H,ALCOHOL GRASO ETOXILADO,IV,Lt
BLOCKADER,ALCOHOL GRASO ETOXILADO,IV,Lt
MURO WDG,CLORIMURON ETIL,III,Gr
PARADISE,AZOXISTROBINA + EPOXICONAZOLE,III,Lt
CIVIC,LUFENURON + LAMBDACIALOTRINA,II,Lt
CLEANSPRAY SP,"2,4-D EQUIVALENTE ACIDO",II,Kg
C. COA VEGETAL,ACEITE DE SOJA,IV,Lt
YUNNUX,CLORIMURON ETIL,III,Kg
ADMIRAL 25 WP,CLORIMURON ETIL,III,Gr
CAPTAN WP ANDO,CAPTAN,III,Kg
COADYUVANTE ROCIO,ALCOHOL GRASO ETOXILADO,IV,Lt
SECUESTRANTE ROCIO,ALCOHOL GRASO ETOXILADO,IV,Lt
ECOSPRAY AFA,ALCOHOL GRASO ETOXILADO,III,Lt
YUVAL 50,LINURON,III,Lt
AZOXY 25,AZOXISTROBINA,IV,Lt
AZOXY PRO,CYPROCONAZOLE + AZOXISTROBINA,III,Lt
HUCK 24 EC,LACTOFEN,IV,Lt
ANTU,LUFENURON,IV,Lt
FENIX STK,"2,4-D EQUIVALENTE ACIDO",III,Lt
PRODINXIL 35 FS,METALAXIL,II,Cm3/Lt
AIKIDO,LAMBDACIALOTRINA,II,Lt
ORLIAN,PENTIOPIRAD + PICOXISTROBIN,II,Cm3/Lt
FACYT TC 35+15,TIRAM + CARBENDAZIM,III,Lt
MAZINA 90,ATRAZINA,IV,Kg
SHOEI,LUFENURON,III,Lt
SULFAR,METSULFURON METIL,III,Gr
RADIX 35% TB,ACIDO INDOL-3-BUTIRICO,III,Gr
TUTALURE,"(E,Z,Z)-3,8,11-TETRADECATRIENIL ACETATO",IV,Gr/mg
FUGAZ,AZOXISTROBINA,III,Lt
DIFENOCONAZOLE 25 EC STOCKTON,DIFENOCONAZOLE,III,Lt
ZINO 75 WG,HEXAZINONA,II,Kg
ECO DEGSER WET,ALCOHOL LINEAL ETOXILADO,III,Lt
YPF GLIFOSATO HD,GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
GLIFOSATO AS,GLIFOSATO EQUIVALENTE ACIDO,III,Lt
DOMARK EXCELL,AZOXISTROBINA + TETRACONAZOLE,II,Lt
EXALT,SPINETORAM,IV,Lt
BIOFILM,DODECIL BENCENO SULFONATO DE AMONIO,III,Lt
QUIMECO WINNOW,ACEITE DE SOJA,IV,Lt
ECO PROCHEM,ACEITE DE SOJA,IV,Lt
ACEITE ROCIO,ACEITE DE SOJA,IV,Lt
NUFARM EMBLEM MAXX,HALOXIFOP-P-METIL,II,Lt
FILUMIL,FENOXAPROP-P-ETIL  ,III,Lt
AZOXISTROBINA + CYPROCONAZOLE STOCKTON,AZOXISTROBINA + CYPROCONAZOLE,II,Lt
SEEDVAULT,ANTRANILATO DE METILO,IV,Lt
PROGUS,FLUDIOXONIL + METALAXIL M,IV,Lt
"DOGO 27,6 SL",PARAQUAT,II,Lt
QUADRIS 50 WG,AZOXISTROBINA ,III,Kg
MANCONYL,MANCOZEB + METALAXIL,III,Kg
ATRAZINA EQUIPAGRO 90 WG R,ATRAZINA,IV,Kg
ESTRELLA AMMONIUM 36,GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
MATADOR 54 EC,HALOXIFOP-P-METIL,III,Lt
VIRAJE,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITES VEGETALES,III,Lt
KEKOL LPU,NAFTENATO DE ZINC + CIPERMETRINA,III,Lt
GREEN CHOICE ATRAZINA,ATRAZINA,IV,Kg
ADAMA ESSENTIALS PARADIGM,"2,4-D EQUIVALENTE ACIDO",III,Lt
BINGO,FOMESAFEN EQUIVALENTE ACIDO,III,Lt
TSURF BIO,ALCOHOL LINEAL ETOXILADO,III,Lt
DETECTOR,IMAZETAPIR,IV,Lt
DUOZOLE MAXX,KRESOXIM METIL + IMIDACLOPRID,III,Lt
SOWER MAGIC,TIODICARB  ,II,Lt
"GLIFOSATO 75,7 KEMSURE",GLIFOSATO EQUIVALENTE ACIDO,IV,Kg
HELIOS,FLUROCLORIDONA,III,Lt
TERABIT,KRESOXIM METIL + TIRAM,III,Lt
KEYZOL,TEBUCONAZOLE,II,Lt
KINGOLOR  ,IMIDACLOPRID,II,Lt
ELUNEY,IMAZETAPIR,III,Lt
COBRE SL AGROSPEC,SULFATO DE COBRE PENTAHIDRATADO,III,Lt/Cm3
FUNGUIZEB WP,MANCOZEB ,III,Kg
BIOLURE LB,"(E,Z)7,9-DODECADIENIL ACETATO",IV,Tiras
TEBU 43,TEBUCONAZOLE,III,Lt
GLOBAL OIL,ACEITE DE SOJA,IV,Lt
MATADOR 24 EC,HALOXIFOP-P-METIL,II,Lt
ACETAMIPRID 20 FARM CHEMICALS,ACETAMIPRID,II,Gr
PLENIUM ECO MAX,LECITINA DE SOJA,IV,Lt
CEBOL,CARBARIL,IV,Kg
CLORIMURON MAX WDG,CLORIMURON ETIL,IV,Kg
YPF COADYUVANTE  SILICONADO,LECITINA DE SOJA,IV,Lt
FULL OIL,ACEITE DE SOJA,IV,Lt
LEDON,S-METOLACLORO,III,Lt
GOTEN,ATRAZINA,III,Kg
PLENIUM AGUA pH,NONIL FENOL ETOXILADO,III,Lt
SMARTSPRAY,"2,4-DB EQUIVALENTE ACIDO",II,Lt
CARVIN 5 G,CARBARIL,IV,Kg
DESPEJE,SULFENTRAZONE,III,Lt
TIODICARB NUFARM,TIODICARB,II,Lt
NUFARM COMPACT,LUFENURON ,III,Lt
BRETON,LUFENURON,III,Lt
FLUTRIAFOL SINON,FLUTRIAFOL  ,III,Lt
"GLIFOSATO 66,2 AS",GLIFOSATO EQUIVALENTE ACIDO,III,Lt
RANCONA ME,IPCONAZOLE,III,Lt
FORTUNA GLOBE 75 WDG,MANCOZEB,III,Kg
TOUCHE ULTRA WG,IMIDACLOPRID + LAMBDACIALOTRINA,II,Kg
IMAZETAPIR 80 HUAGRO,IMAZETAPIR,III,Kg
CURYGEN,DIFENOCONAZOLE,II,Lt
UNIKUM,TIAMETOXAM,IV,Kg
KAMBA FULL,DICAMBA EQUIVALENTE ACIDO,III,Lt
AMETRINA 80 SINER,AMETRINA,III,Kg
SUPERMET,METSULFURON METIL,III,Kg
PROTEXIA,METALAXIL,III,Kg
CONDOR,CLORPIRIFOS,II,Lt
CARSIS WG,CARBENDAZIM,IV,Kg
ADAMA ESSENTIALS AZUR,HALOXIFOP-P-METIL ESTER,III,Lt
DESTINY 70 WG,IMAZETAPIR,IV,Kg
POWER PLUS DRY,GLIFOSATO EQUIVALENTE ACIDO,IV,Kg
KAYTINA EC,ABAMECTINA,II,Lt
IMIDA 70 WG BIESTERFELD,IMIDACLOPRID,II,Kg
AGRIQUAT,PARAQUAT,II,Lt
YPF IMAZETAPYR HE,IMAZETAPIR,IV,Lt
CRUISER OPTI,TIAMETOXAM + LAMBDACIALOTRINA,III,Lt
COSMIC,LAMBDACIALOTRINA + TIAMETOXAM,II,Lt
GLYNOMYL PREMIUM,GLIFOSATO,IV,Lt
ANTIDERIVA FULLDROP,ALCOHOL LINEAL ETOXILADO,III,Lt
VIBRANCE GOLD,DIFENOCONAZOLE + FLUDIOXONIL + SEDAXANE,III,Lt
SONIC,ACEITE DE SOJA + ALCOHOL GRASO ETOXILADO,IV,Lt
HYPER,AZOXISTROBINA + CYPROCONAZOLE,II,Lt
COADYUVANTE KUMMEL 3 ELEMENTOS BIO,ALCOHOL LINEAL ETOXILADO,IV,Lt
PELKE,GLIFOSATO,IV,Lt
HUNTER AGROS,DICAMBA EQUIVALENTE ACIDO,III,Lt
STERN,CLORSULFURON + METSULFURON METIL,IV,Gr
TUTOR METIL,TIRAM + METIL TIOFANATO,III,Lt
ACEITE QUIMECO,ACEITE DE SOJA,IV,Lt
KONDOR AGROS,IMIDACLOPRID,II,Lt
MARDER,LAMBDACIALOTRINA + ACETAMIPRID,II,Lt
ASPSAFEN 25 SL,FOMESAFEN EQUIVALENTE ACIDO,III,Lt
SHERIDAN,CLORIMURON ETIL,IV,Cm3
AIAKU,AZOXISTROBINA ,III,Lt
NO FLOT,NONIL FENOL ETOXILADO,III,Lt
PRIAXOR,FLUXAPYROXAD + PYRACLOSTROBIN,II,Lt
BABOCIL SUPER,METALDEHIDO,II,Cm3/Lt
LIGERO,PARAQUAT,III,Lt
CLEANER XTRA,CLOROTALONIL,III,Kg
PINAR SURCOS,PICLORAM SAL POTASICA ,IV,Lt
CARBEN WG,CARBENDAZIM ,IV,Kg
HARRIER BIO,ALCOHOL LINEAL ETOXILADO,IV,Lt
RICEFOP,CYHALOFOP BUTIL,III,Lt
"2,4-D 60 GREEN CROPS","2,4-D",III,Lt
METILADO ARN EBC,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITES VEGETALES,III,Lt
DUPONT PREMIUM SG,GLIFOSATO,IV,Kg
ADAMA ESSENTIALS AZTEK,IMAZETAPIR,IV,Kg
CLORPIRIFOS SUMAGRO EC,CLORPIRIFOS,II,Lt
CLETOGRASS,CLETODIM,III,--
ESTRIBO,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITES VEGETALES,III,Lt
NUFARM WEEDAR FULL,"2,4-D",II,Lt
AVATAR,AZOXISTROBINA,III,Kg
HIGHNESS,DIFENOCONAZOLE,IV,Lt
USGUR,IMIDACLOPRID,II,Lt
DIAPASON,EPOXICONAZOLE ,IV,Lt
FOX,FOMESAFEN,III,Lt
KINGSTAR SC,AZOXISTROBINA + CYPROCONAZOLE,III,Lt
BIOQAR,ALCOHOL GRASO ETOXILADO,IV,Lt
SUPER ESTRELLA II ACA,GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
TAPIR 70 WG,IMAZETAPIR,IV,Gr/Kg
HUAGRO TOX,ABAMECTINA,III,Gr/Kg
LAMBDACIALOTRINA MARKETING AGRICOLA,LAMBDACIALOTRINA,Ib,Lt
CLORIMURON 75 HUAGRO,CLORIMURON ETIL,III,Kg
WEEDS OFF,GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
ORCUSS ELITE,HALOXIFOP-P-METIL EQUIVALENTE ACIDO,II,Lt
"WYNCA 75,7",GLIFOSATO,IV,Kg
"ESTRELLA WDG 75,7",GLIFOSATO,IV,Kg
KERON,ALQUIL ARIL POLIGLICOL ETER,III,Lt
SILVZOLE EW,TEBUCONAZOLE,II,Lt
"2,4D CHEMPRO","2,4-D EQUIVALENTE ACIDO",II,Kg
GRAMAX 54,HALOXIFOP-P-METIL EQUIVALENTE ACIDO,II,Lt
MAGNUM AMONIO,GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
AGROMIPRID 20 SP,ACETAMIPRID,III,Kg
PATRON G 24,PICLORAM EQUIVALENTE ACIDO,III,Lt
HERBICIDA DAARGUS FULL,GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
SUPER ESTRELLA GR ACA,GLIFOSATO EQUIVALENTE ACIDO,III,Kg
"2,4D AMINA NV EQUIPAGRO","2,4-D EQUIVALENTE ACIDO",II,Lt
ECOAGRIMAX,ALCOHOL GRASO ETOXILADO,IV,Lt
METOLACLOR AGROS,METOLACLORO,III,Lt
INTENSITY II,CLETODIM,III,Lt
PENDIPAX,PENDIMETALIN,III,Lt
PHILGREEN,AZOXISTROBINA + TEBUCONAZOLE,IV,Lt
TEBU 25 AGROS,TEBUCONAZOLE,III,Lt
ABAMECTINA SIGMA,ABAMECTINA,II,Lt
MIDATRIN,IMIDACLOPRID + LAMBDACIALOTRINA,II,Lt
SULFENTRAZONE FORMULAGRO,SULFENTRAZONE,II,Lt
PENDI 33 EC,PENDIMETALIN,III,Lt
COADYUVANTE KUMMEL BIO VENTO,ALCOHOL LINEAL ETOXILADO,IV,Lt
CLEANDIM,CLETODIM,III,Lt
COADYUVANTE ESPACIAL EFECTO CORRECTOR FACYT,ALCOHOL LINEAL ETOXILADO,IV,Lt
BOREY,IMIDACLOPRID + LAMBDACIALOTRINA,II,Lt
EXIREL,CYANTRANILIPROLE,IV,Cm3
SILVZOLE XTRA,TEBUCONAZOLE,III,Kg
"GREEN DICAMBA 57,8",DICAMBA EQUIVALENTE ACIDO,IV,Lt
TERRA 90,ATRAZINA,IV,Kg
YPF GLIFOSATO CONCENTRADO HD,GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
CAPAZ MTZ WG,SULFENTRAZONE + METRIBUZIN,IV,Kg
CAPAZ MTZ,SULFENTRAZONE + METRIBUZIN,IV,Kg
ACEFATO SIGMA,ACEFATO,II,Kg
LARGIN CS,LAMBDACIALOTRINA,II,Lt
TIMON,GLUFOSINATO DE AMONIO,III,Lt
MIFOS SUPER,GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
ARADOR 60,"2,4-D",II,Lt
WATER SHOCK,ACIDO FOSFORICO,III,Lt
SCHOLAR,FLUDIOXONIL ,IV,Lt
GUAPO,IMIDACLOPRID,III,Lt
YPF LAMBDA IE-SG,LAMBDACIALOTRINA,II,Kg
RIZODERMA,TRICHODERMA HARZIANUM CEPA Th2,IV,Lt
THIODI 80 WG,TIODICARB,II,Kg
PENDIMETALIN 33 CHEMPRO,PENDIMETALIN,III,Lt
JUMKAN,MEZCLA DE ESTERES Y JABONES PROVENIENTES DE ACIDOS GRASOS DE ACEITES VEGETALES TRANS ESTERIFICADOS  CON GLICERINA CONTIENE SUCROGLICERIDOS,IV,Lt
MANTO,LAMBDACIALOTRINA,III,Lt
FAST ULTRA,IMIDACLOPRID + ABAMECTINA,II,Lt
CONFIDENCE XTRA WG,AZOXISTROBINA + CYPROCONAZOLE,III,Kg
ZAINO ZURCOS,IMIDACLOPRID,III,Lt
TENACIUS SX,DIFENOCONAZOLE + FLUDIOXONIL + TIAMETOXAM + SEDAXANE,III,Lt
YPF MIXTAR FL,AZOXISTROBINA + EPOXICONAZOLE,III,Lt
PROTESOL,IMAZAPIR,III,Gr
MAIZ PROTECTOR,IMAZETAPIR + IMAZAPIR,III,Gr
ADAMA ESSENTIALS ALEF,FOMESAFEN,III,Lt
HAPMET,HALOXIFOP-P-METIL,III,Lt
LAMBDA ATANOR,LAMBDACIALOTRINA,II,Lt
LUXOR 24,CLETODIM,III,Lt
"THOR 75,7 SG",GLIFOSATO,IV,Kg
WEEDCLEAR,FLUROXIPIR MEPTIL,III,Lt
GENTOPYR,GLIFOSATO + IMAZETAPIR,III,Lt
DIMETOATO MELTHIS,DIMETOATO,II,Lt
GLIFOACTION +,GLIFOSATO,IV,Lt
DIMETOATO 40 FALCROP,DIMETOATO,II,Lt
SPARTA MAX,BIFENTRIN,II,Lt
ELATUS,BENZOVINDIFLUPYR + AZOXISTROBINA,II,Kg
THANATOS,ACETAMIPRID,II,Gr
EPOZOLE,EPOXICONAZOLE ,III,Lt
GLISAL FULL,GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
KARATHANE GOLD,MEPTYL DINOCAP,II,Lt
AZOXY 50 DVA,AZOXISTROBINA,III,Kg
BIO-MECTINA,ABAMECTINA,II,Lt
CHARGE,FLUAZIFOP-P-BUTIL,II,Lt
SUREN PLUS,DIFENOCONAZOLE + FLUDIOXONIL + TIAMETOXAM,III,Lt
HALAXY,HALOXIFOP-P-METIL ESTER,III,Lt
FARNEX 75,IMAZETAPIR,III,Kg
MILLION,LACTOFEN,IV,Lt
DESIKOTE MAX,COPOLIMERO DE ALFA BETAPINENO,III,Lt
WIND,ALCOHOL LINEAL ETOXILADO,III,Lt
PITCHER M,CLETODIM,III,Lt
CELERITY XTREMO,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE VEGETAL ,IV,Lt
INVICTO,GLIFOSATO,IV,Lt
GLIFO CAMPO POTASICO,GLIFOSATO,III,Lt
SHELTER 3 FS,DIFENOCONAZOLE,III,Lt
TRANVEL,DICAMBA,II,Kg
GLIFOSATO WSG CHEMPRO,GLIFOSATO,III,Kg
"HALOXIFOP 12,5 BRANAGRO",HALOXIFOP-P-METIL,III,Lt
ABRIL 50 CURASEMILLA,IPRODIONE,III,Lt
TECNOQUAT,PARAQUAT,III,Lt
ADARVE TBF,TRIBROMOFENOL,IV,Lt
VENDAVAL FUMIGANTE 51,METAM SODIO,II,Lt
AHIJUNA,GLIFOSATO,III,Kg
ATRACTIVO 90 WG,ATRAZINA,III,Kg
TOUCHE ULTRA WG II,IMIDACLOPRID + LAMBDACIALOTRINA,II,Kg
GLYNOMYL SENIOR,GLIFOSATO EQUIVALENTE ACIDO,III,Kg
MALEVO PLUS,LAMBDACIALOTRINA,II,Lt
KENDO GOLD,LAMBDACIALOTRINA,II,Lt
OBJECT R,IMAZETAPIR,IV,Lt
ATRAZINA LQ 50,ATRAZINA,IV,Lt
BASTNATE SL,GLUFOSINATO DE AMONIO,III,Lt
ROUNDUP FG L,GLIFOSATO EQUIVALENTE ACIDO,IV,Kg
FACYT PIRIFOS,CLORPIRIFOS,II,Lt
AZOSHY 50,AZOXISTROBINA,III,Kg
PUNTO 60 SEMILLERO,IMIDACLOPRID,III,Lt
PUCARA II,CIPERMETRINA,II,Lt
OLEOGREEN AGROS,ACEITE DE SOJA,IV,Lt
HOR TAL EFE USO AGRICOLA,ALFACIPERMETRINA,IV,Kg
DUPONT PREMIUM ULTRA SL,GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
SUNZONE,SULFENTRAZONE,III,Kg
MAJORITY,SULFENTRAZONE,III,Lt
"GREEN HALOXIFOP 12,5",HALOXIFOP-P-METIL ESTER,III,Lt
GOTON,ALQUIL ARIL POLIGLICOL ETER,III,Lt
ESTRELLA POTASSIUM,GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
LUFENURON 5 DVA,LUFENURON,II,Lt
FURAFARM 48 F,CARBOFURAN,Ib,Lt
DASH MSO,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE VEGETAL ,IV,Lt
COADYUVANTE SELECTO,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE VEGETAL ,IV,Lt
ACTIVE OIL ECO M,ACEITE DE SOJA,IV,Lt
FABIAN,IMAZETAPIR + CLORIMURON ETIL,III,Kg
FOZIL 35,IMIDACLOPRID,II,Lt
"PARAQUAT 27,6 SIGMA",PARAQUAT,II,Lt
AZAKA,AZOXISTROBINA,III,Lt
AZOSHY 25 SC,AZOXISTROBINA,III,Lt
SIGMA DICAMBA,DICAMBA EQUIVALENTE ACIDO,III,Lt
ACEFATO CAUQUE 75 % SP,ACEFATO,II,Gr
BIABA,ABAMECTINA + BIFENTRIN,II,Lt
PHILLAMBDA 25 ME,LAMBDACIALOTRINA,II,Lt
HALOMAX HIGH,HALOXIFOP-P-METIL ESTER,II,Lt
"HALOMAX 12,5",HALOXIFOP-P-METIL ESTER,III,Lt
TOFAC,ACEFATO,III,Kg
EFORIA,LAMBDACIALOTRINA + TIAMETOXAM,II,Lt
CAZADOR,IMIDACLOPRID + LAMBDACIALOTRINA,II,Kg
KUARTEL II,DICAMBA EQUIVALENTE ACIDO,IV,Lt
CAESTER,"2,4-D EQUIVALENTE ACIDO",III,Lt
MAXI DROP BIO,ACEITE DE SOJA,IV,Lt
DIMECTYON 40,DIMETOATO,II,Lt
BASIC AGROS LOSS,"2,4-D EQUIVALENTE ACIDO",II,Lt
DESPEJE WDG,SULFENTRAZONE,III,Kg
"FIDEPLUS GLIFOSATO 66,2",GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
ROUNDUP CONTROL MAX,GLIFOSATO EQUIVALENTE ACIDO,IV,Kg
VIRTUX EC,HALOXIFOP-P-METIL ESTER,III,Lt
CONTACT,ALCOHOL LINEAL ETOXILADO,III,Lt
SISTEMIC,ALCOHOL LINEAL ETOXILADO,III,Lt
PHILZAPYR 10,IMAZETAPIR EQUIVALENTE ACIDO,III,Lt
PICK OUT,PICLORAM EQUIVALENTE ACIDO,IV,Lt
GLYNOMYL SENIOR I,GLIFOSATO EQUIVALENTE ACIDO,III,Kg
CLOSER,SULFOXAFLOR,IV,Lt
BAJADOR ZAMBA,HALOXIFOP-P-METIL ,III,Lt
MENTOR,DIFLUBENZURON,III,Kg
ECOTENSIOSHOCK,ALCOHOL LINEAL ETOXILADO,IV,Lt
ACETOCLOR 90 % SURCOS,ACETOCLOR,III,Lt
GLOBESTAR,TIDIAZURON,IV,ml/Lt
CLEANER AGROS,AZOXISTROBINA + CYPROCONAZOLE,II,Lt
STARXIFOP LPU,HALOXIFOP-P-METIL ,III,Lt
TOTAL PLUS,GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
COMPINCHE SX,DIFENOCONAZOLE + FLUDIOXONIL + SEDAXANE,III,Lt
QUADRIS TOP,AZOXISTROBINA + DIFENOCONAZOLE,III,Lt
ADRESS,LUFENURON + PROFENOFOS,II,Lt
STARECO,MEZCLA DE ESTERES Y JABONES PROVENIENTES DE ACIDOS GRASOS DE ACEITES VEGETALES TRANS ESTERIFICADOS  CON GLICERINA CONTIENE SUCROGLICERIDOS,IV,Lt
CURYOM FIT UV,BENZOATO DE EMAMECTINA + LUFENURON,II,Kg
NUFARM BUTOXONE ,"2,4-DB",II,Lt
MADDOX-S,IMAZETAPIR,III,Lt
DIURON SINER,DIURON,III,Lt
KUNZE,LACTOFEN,IV,Lt
SWIFT SPRAY,"2,4-D EQUIVALENTE ACIDO",II,Kg
THUNDERACT,IMAZETAPIR ,IV,Kg
"TIRADOR 66,2",GLIFOSATO,IV,Lt
PICLORAM AGROS,PICLORAM EQUIVALENTE ACIDO,IV,Lt
ACOPIVAP,D.D.V.P. + DELTAMETRINA,Ib,Lt
CKC IMIDA 70,IMIDACLOPRID,II,Gr
VIRTUX,HALOXIFOP-P-METIL ,II,Lt
PROFIT 18 EC,ZETAMETRINA,II,Lt
PUNIX,PENDIMETALIN,III,ml/Lt
AREK,QUIZALOFOP-P-ETIL,III,Lt
BIFENTRIN LQ 10,BIFENTRIN,II,Lt
LAMBDA LQ 5,LAMBDACIALOTRINA,II,Lt
